hospital_key,hospital_register_num,hospital_name,hospital_category,hospital_si,hospital_gu,hospital_dong,hospital_ceo,hospital_address,hospital_nation
BE_LiST21-0084,153,최희윤성형외과의원,의원,서울특별시,강남구,역삼1동,최희윤,서울특별시 강남구 역삼동 821 강남이즈타워 6층 601호,"미국,일본,중국,러시아,몽골,"
BE_LiST21-0398,1107,봄날정형외과의원,의원,서울특별시,강서구,방화2동,장재민,서울특별시 강서구 방화동 592-23,
BE_LiST21-0399,1114,김기헌이비인후과,의원,서울특별시,강남구,논현2동,김기헌,서울특별시 강남구 논현동 87-7,
BE_LiST21-0400,1117,청담서울이비인후과의원,의원,서울특별시,강남구,청담동,정하원,"서울특별시 강남구 청담동 46-19 2,3층",
BE_LiST21-0401,1118,정중길성형외과의원,의원,서울특별시,강남구,청담동,정중길,서울특별시 강남구 청담동 49 유림빌딩 203호,
BE_LiST21-0402,1121,삼혜이비인후과의원,의원,서울특별시,성북구,삼선동,이창훈,서울특별시 성북구 동소문로 18 -1 (동소문동2가),
BE_LiST21-0403,1136,동안피부과,의원,서울특별시,구로구,구로5동,박동재,서울특별시 구로구 구로동 8-17 태영빌딩 401호,
BE_LiST21-0404,1152,예쁜사람치과,치과의원,서울특별시,중구,명동,이건수,서울특별시 중구 을지로2가 199-40 아르누보센텀 4층,
BE_LiST21-0405,1160,어울림치과의원,치과의원,서울특별시,송파구,잠실6동,배진완,서울특별시 송파구 신천동 7-14 잠실더샵 스타파크상가 2층,
BE_LiST21-0406,1164,제이드성형외과의원,의원,서울특별시,서초구,잠원동,김진오,"서울특별시 서초구 강남대로 621 (잠원동,8층)",
BE_LiST21-0407,1173,그루터기치과,치과의원,서울특별시,강동구,암사2동,이재용/김효섭,서울특별시 강동구 암사동 503-23 태성프라자 501호,
BE_LiST21-0408,1175,메트로성형외과의원,의원,서울특별시,강남구,논현1동,김종찬,서울특별시 강남구 도산대로 122 에메랄드타워 10층,
BE_LiST21-0409,1186,김영진성형외과의원,의원,서울특별시,강남구,신사동,김영진,서울특별시 강남구 신사동 585-13 3층,
BE_LiST21-0410,1195,강동성심병원,종합병원,서울특별시,강동구,길동,윤대인,서울특별시 강동구 길동 445,
BE_LiST21-0411,1197,함박웃음치과의원,치과의원,서울특별시,관악구,청룡동,김대중,서울특별시 관악구 봉천동 862-1 에그옐로우 6층 7-9호,
BE_LiST21-0412,1202,(의)제일의료재단제일병원,종합병원,서울특별시,중구,필동,이재곤,서울특별시 중구 묵정동 1-19,
BE_LiST21-0414,1219,미즈성형외과,의원,서울특별시,강남구,논현1동,황귀환,"서울특별시 강남구 도산대로 108(논현동, 렉스타원 4,5층)",
